TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,Sha256 hash
,83,tayo-tailor,tayo tailor,A professional fashion designer.,Male,hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated;,70828783-ac38-48cf-b966-cfebc92ebd86,863afbe6a8676c8c894a37701f1f62e37fd677c21390ee66b1296c28cabddace
,84,ajasco-comedian,ajasco comedian,A newbie comedian.,Male,hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant;,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,6597e95d2c8ca6e42639ba12ee39092f6267c8fd3585a0c612ce69cf7b5a1d9a
,85,tobi-babyboy,tobi babyboy,A guy who does not like stress.,Male,hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries;,3da592d4-5dec-4bc5-8412-f1b2a0269f95,bce02772a4dc249b58103b7d23a0ff0f2721639266fa30fd5a8627435ecd5c6a
,86,esther-sassy,esther sassy,A rude lady.,Female,hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace & earrings; expression: bold; strength: confident; weakness: judgemental;,0642a25a-966d-446f-b021-a6d18e7fa0c5,9fd2f3eecc41ec2485df2f46e3b907c0516d962a9c0c42809f2b34ffa4c8018d
,87,ozo-fineboi,ozo fineboi,A charming person,Female,hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker & hookah; expression: blank; strength: charismatic; weakness: proud;,"hair: brown, eyes: blue, teeth: none, clothing: aztec print blouse,  accessories: choker & hookah, expression: blank, strength: charismatic, weakness: proud",4fc88ba1ab8c0d7b174410f8a025fad6616f0fab43d90bd9ee8e54ed9bf79a44
,88,ade-party-girl,ade party girl,The life of every party.,Female,hair: brown; eyes: blue; teeth: gap-tooth; clothing: one-sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive;,7e3db30c-9faf-430d-ab48-b854fe0456b9,7586f7cc95adf905fc0694e80d6fc233b8fa128aeb43e91bc0de67eb579f57a7
,89,john-casco,john casco,A very observant person.,Female,hair: black; eyes: blue; teeth: none  clothing: one-sleeved ankara top; accessories: earrings & necklace  expression: shocked; strength: unpredictable; weakness: loner;,2eff88ef-5bc2-4779-917a-533e952e2953,210a514da702ac93c3e3a530a83d1072e711fb4529bb9e1968342547f6f6b7a8
,90,agha-uwa,agha uwa,A woman of high social class.,Female,hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap & full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner;,8478a002-1eba-4a05-8b98-7170c6e39254,eaf8b36c948ef846b8f06173e35d60807ddb7e22be87e65b41982f985ec4cfa5
,91,udeme-great,udeme great,A lady given to adventures.,Female,hair: purple; eyes: black; teeth: none  clothing: ankara top with blue sleeves; accessories: green necklace & green earrings  expression: clueless; strength: decisive; weakness: stubborn;,d1476409-6f8b-4be9-8c93-24d9123749c5,bb6693eb603672e1e096be5be65192423763e7e7d27715d0a3ffd8ebe86ea13b
,92,femi-tech-bro,femi tech bro,A rookie in the tech indutry.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination;,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,f457e89d5abfc86c1c413546cc3bc094aaa67a9ddace842f528a458ec150c6aa
,93,sai-baba,sai baba,A leader of a third-world country,Female,hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings & necklace; expression: anxious; strength: trend spotter; weakness: distracted easily;,fdfff369-5b57-4612-9f89-f5d408f24a35,c5bfc303bec0200be1db53c11659ef30e87f3ea7d88d158a731ddecab8bae96e
,94,omo-pastor,omo pastor,A devout christian.,Female,hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings & green necklace; expression: happy; strength: happiness; weakness: too emotional;,49e09559-61a6-41ff-811a-272721a7475c,7fe34e0511a653625af4ab71b57e1ddb4b4d5b0347e59040d0f1692c44361b8e
,95,obi-container,obi container,A rich south-easterner.,Female,hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker;,4b64cf48-94fa-4aed-8cf2-452974b48ee3,05fc2eb517515cc2f114e996bd941b2eb522977f1ed5432888ca64a8f969d5be
,96,erigga-international,erigga international,Superstar from South-South.,Female,hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace & red scrunchie; expression: curious; strength: talented; weakness: overconfident;,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,8764112563ecd57ad29852bca420bd6ebbd68d42a1d5d1bb873033e0d81d51fa
,97,ayo-web3-bro,ayo web3 bro,Someone with no actual knowledge of basic computer principles.,Female,hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate;,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,c51488b478a25a695103cf21c6f811024626815991b1715185bb7c960566e0e7
,98,phoebe-queen-bee,phoebe queen bee,"A self-centred woman, who only thinks about herself",Female,hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible;,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,0314baa102798a8a23cc5b839687dd9a8fa3e103a487b68ac66d59df8e5a9445
,99,rachel-warri-babe,rachel warri babe,A highly disciplined woman.,Female,hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative;,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,93bb424d175ac0a7a39d39e45e20fbff7fdb653c7a03b128336cbba2cea7e4ef
,100,adun-preacher,adun preacher,A religious woman.,Female,hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet & hookah;  expression: blank; strength: bold; weakness: fake ;,cc4dfedf-c343-48db-ad67-e39452ec2380,3b4a25926b6e5f8659a68887a3ea41681a8455deafb3f32ae8f7e4195f5e7b00
TEAM CHISEL,101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth,Female,hair: brown; eyes: opened; teeth: white; clothing: ankara print ; accessories:none ; expression: staring; strength: bold; outspoken; weakness: pride;,fbf43611-f267-4cba-bf4b-a3ffdc122589,2bd195afcfd63a52949cd77dd8b4a0d26d577437f6745e0a39844c5b1430a0b1
,102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party,Female,hair: black; eyes: blue;opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl;,e7c32b06-7022-49b4-bbe5-81e8c1d58583,a9478b4116414831af1e69008aec70de51d0be3e25d360641a35c089c9633f2e
,103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family,Male,hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking;,e57d8985-599e-49da-8d62-fc16b7ac93f2,a8d24290faccda68420c2ea800666f838b4df3a76e8a94b77595d6a7623d1e55
,104,farida-the-tivlady,farida the tivlady,Farida is a beautiful Tiv woman,Female,hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking;,31d3e229-003e-43c8-ba82-38f49cf58ccb,75a87e82fe36010a94d741e6d9d55c61701558cc035a77abd300383499be0ddd
,105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir,Female,hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading;,281f5bd7-5282-458b-9811-e369980e7dee,3b224670e3117436b089142af7d2d6c563bb48a354d7cffc58a782d4ecd4705b
,106,nonso-the-igbogirl,nonso the igbogirl,Nonso is a hardworking Igbo girl,Female,hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending;,5cfa76df-8376-4505-af12-78af24f108d6,33fbc02002c120a1c6db69ec8faa45e753cb42e773b6e6502d316488167b8c3c
,107,shade-olori,shade olori,Shade loves soft life and makeup,Female,hair: black; eyes: blue;opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping;,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,fc25e2e084aecfa6b5f0ba5d42a63c355997c9cdfe8c28f9410f5f065210e3c1
,108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics,Male,hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking;,d96a93e7-17a4-4efe-b09b-02185cc81ce8,e4a3c1ca7ee6fc88443ced7367ad24aa46ecc824a202eb4d9e0b69e0c8626fe6
,109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events,Male,hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none;,030f665d-2cd7-4376-aef5-4030dad9f2d6,3ce089a4cc42ac8a0b48b9b3fa76e9a69b955195e1dd75715497677d75a4ca8d
,110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a youruba demon that breaks hearts,Male,hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals;,e270e278-a9b5-408d-b527-d518239a997b,90f5456d7394e88ab848a49477aa97dc7b04b7f0156f8c4b9f14c7080aeef5ad
,111,nkechi-the-actress,nkechi the actress,Nkechi is an internation actress that acts in hollywood,Female,hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie;,34b1136d-00b1-4f29-8a03-5b02291d47d5,333590d3fcea21dcbd4a234715e7ccad9ccdaaa4f2859eab61ead8f5515c0037
,112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam that changes money,Male,hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic;,592eff9f-93b2-4452-a2ed-5d44ebc969db,6aa50ab529d69278a61faab7eb552227e4e6b692347f6b675a902aeaf14156ce
,113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty,Female,hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive;,d9477612-ad63-408e-8d12-24679c647b32,66e5a81e995bf4ec3d2937bfcd077a59d013d1efca6319fd7879fb1790acb759
,114,tunde-the-boss,tunde the boss,Tunde is a boss that orders her helps around,Male,hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy;,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,71b96705a0ccc6022aa19abd5c3ed18b74c9df314cd21cb519d80c5959820b0d
,115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a baber that does celebrity haircuts,Male,hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing;,152758f3-9414-45a2-a809-95cb05a3de13,8c9173da01cc79072b834a1450009584d4aec2e68c52bd45e1144057d3ba57d1
,116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is a very hyper that she hypes in the clubs,Female,hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive;,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,86a5ebc8d13a5344b7f190afe47ab525fe3a60da45f531b0287c19783f0ec1f8
,117,kemi-foodie,kemi foodie,Kemi loves food but cannot cook,Female,hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness;,3116cb6f-14c4-4d5a-af57-54253b72a309,6f8ce1005f29690e0b0cf396954185193e538c64a40c9270c5dd4585e7a4ddbb
,118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths,Female,hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious;,a14df1c1-7a5a-4a33-8780-0fb01c593da6,cabc33ecf642a2fd60c09805d70608af8c4e4c8a0dcf6e26ef34bb7656718226
,119,kayode-the-baller,kayode the baller,Kayode loves life and lives it,Male,hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women;,fe17bfdc-c251-4654-8313-1ab793e11748,db7e7e5be40135adbeb35cf4f528caa658d71c90ed85cbe98469355f14973d9d
,120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is,Male,hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy;,df295be1-1509-406e-a263-28a5dee0abca,9e887a1df41b664fe60bddfe92fcdf79c9ea12e05569bdec8e05e97aded71b8b
TEAM BRAINBOX,121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader,Male,hair: none; eyes: blue; teeth: none; clothings: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness shy;,7ebde325-8efc-4997-811a-b5686269929e,6278efa3ec10191d9f64cc6075acef734607a57c91b52c00e605e3378a1bbb99
,122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is so hilarious ,Male,hair:none ;eyes: black;teeth:small open teeth; clothings: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger;,c136a120-a339-4080-96ca-1c93845c5848,6978290ef06ad78bf3f7b3974f7306378c189be5246509ec1b520f6682f339a1
,123,yakubu-village-chief,yakubu village chief,Yakubu is the village chieftain,Male,hair:none ;eyes: blue;teeth:open white teeth; clothings: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience;,5b0c0d26-d204-4264-b579-081ff9df935b,9c79f6089b82ed028d699d3ea0b4c3ccf132871330145e1ce252628eae875d04
,124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking cigarettes ,Male,hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothings: mixed colors ankara wear; accessories:none; expression:happy; strength:strong; weakness:anger;,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,d953f12bb89cb61f57b18cfc2b8f594bc99c178f8c567201dd67e184c5252276
,125,johnathan-good-leader,johnathan good leader,A very progressive young man with positivity ,Male,hair:punk bearded man ;eyes: closed; teeth:none; clothings: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride;,241e3713-4ce3-48d0-827f-b282ae2db6c4,0f497296a332f4995c006def4c8c1f3c7ead6404ab46e9d43d882f4160d998aa
,126,johnathan-genz-kid,johnathan genz kid,Johnathan is zealous ,Male,hair:none ;eyes: blue;teeth: white; clothings: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance;,90c0ae09-a35f-42ad-b93c-dcf30169acd9,5d74741f8ef369cf33ccb5fd4a0f5aaac6807eed2a65e25a9361bb9232429c14
,127,eddy-the-community,eddy the community,Man of the people ,Male,hair:none ;eyes: blue; teeth:none; clothings: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional;,5cabf9d9-882b-459e-9253-8c07eb045e2d,c129d4b88e35b44b5c3bfe368bda1e5bdf082ad8d8f3881cad99a8a92952905e
,128,olu-the-oba,olu the oba,Olu the great ruler,Male,hair: purple braided hair ;eyes: black; teeth: none; clothings: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger;,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,4d9dcd12de0a40a9d9234b727efa21a4dd0ea78e325f63de5d57cef96d913070
,129,edu-the-biggest-trader,edu the biggest trader,The biggest merchant in west coast ,Male,hair:none ;eyes: blue; teeth:closed; clothings: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience;,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,d3575d222a5aeb36b0c46a61511a1693ea7ca6475ce99cccee6b50adebe9f225
,130,james-importer-and-exporter,james importer and exporter,Sole importer and exporter of spare parts in Africa ,Male,hair:none ;eyes: blue;teeth:none; clothings: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride;,22541251-022f-480c-8c1e-cf754dce16d6,63992a6d2d5fccc28cbe8cc724368bc753cd073d4af75a851a134e83c51a66e4
,131,lanre-the-dreaded-guy,lanre the dreaded guy,The wayward tout,Male,hair: none ;eyes: none; teeth:white; clothings: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger;,66a054cd-5541-4000-98aa-8f2e9892d880,6362d59c5ef465872cd605ffe3b0f94d73b82110c488ead9bef963947beec519
,132,olamide-the-street-boy,olamide the street boy,Friendly street gang,Male,hair:none ;eyes: white; teeth: none; clothings: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn;,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,324369aff5e9b773f98322e9645def673e949b63b8f09164c7028d319dd52e4a
,133,uche-peace-loving-man,uche peace loving man,A man of peace and discipline ,Male,hair: yellow ;eyes: blue;teeth:none; clothings: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional;,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,be7fea3f8ebe669a44b656ab6096c9e4f386b9081f4ed4ff549f96194f1bbbe5
,134,dave-the-tech-bro,dave the tech bro,Dave the web3 geng,Male,hair: none ;eyes: none; teeth:white; clothings: none; accessories:cap; expression: serious face; strength:strong; weakness:none;,c0857b11-bf0e-46a4-9108-b8eb93d83e74,fa2cdde9290c6c69d6a94f0e33e20c3fa7226d3400e29865a05f63e5dbd9c74e
,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,The biggest helper during the pandemic ,Male,hair:none ;eyes: blue; teeth:white; clothings: brown; accessories:cap; expression:happy; strength: strong; weakness:none;,201a408c-7a2e-42d9-a62c-0136c885c211,8512c136a461fb875eb7bdd986366dd2e73349321df86448fa35608e4e3da9f5
,136,precious-the-emotional-girl,precious the emotional girl,Soft hearted and sensitive precious ,Female,hair:none ;eyes: white; teeth: white; clothings: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none;,b6a41ff1-51ce-42f7-9933-85d0a22ced68,ccb69fdbfc5285f74fd6c92e3fddf5017504665712bdfc5a2ce5421366ef7259
,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady ,Female,hair: none ;eyes: white;teeth: white; clothings: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none;,04036447-f43e-4bfb-9503-f55c9064b14e,73d43b82fc7a49d189018c9fae92455a66aa2403bb7a7614633048af65a8d7b5
,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with a priceless cute eyes,Female,hair:yellow ;eyes: blue;teeth:none; clothings: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride;,5d12847b-6d71-4691-8337-2e6ef3e283b2,1022e8145ee9f395c9379c4b3bb595740c224f0068c546dd4373ceff8ab6915b
,139,mary-with-hair,mary with hair,Mary with her beautiful Afro ,Female,hair: none;eyes: none;teeth:none; clothings: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful;,98035e8b-6540-4464-8a3c-fdac9f07b168,56165d5f327725d9488fd40aa90eba8d4013c8f7559949b072b470c944eb5b6f
,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum,Female,hair: none;eyes: none;teeth: white; clothings: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive;,15309dc5-e483-4658-b503-db85ba2c1722,df6271c94b2a041c44f5e2660e63dd5b3d149aec3d6115023dfdfb192a31cfa8
TEAM PLUG,141,viganem-the-drummer-girl,viganem the drummer girl,Known for typically playing the drum for 5 hours per day without a break.,Female,hair: none;  eyes: none;  teeth: none;  clothing: ankara with drum patterns;  accessories: none;  expression: sumg;  strength: none;  weakness: none;,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,6c4b815aea778e1f24212ae34b0cc0a69395cca17abe73395aae2c95700d2dff
,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair: purple;  eyes: none;  teeth: none;  clothing: black and blue ankara;  accessories: none;  expression: serious;  strength: none;  weakness: none;,e564a43a-ef77-487d-a88e-749d20a09fd8,478da5fe454ef66a7442a49125a87de58edb130e0a43083de9f18d4c62d825a9
,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair: purple;  eyes: none;  teeth: none;  clothing: black ankara with yellow and blue gear pattern;  accessories: none;  expression: chill; strength: none;  weakness: none;,6dc7e452-0626-4f4c-a28c-f5db3532e305,9da4e1b7527be2a2c254f8daaab864934f5130514967872103a348fefb91405f
,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair: brown afro;  eyes: none;  teeth: none;  clothing: black ankara with yellow; peach; and blue gear pattern;  accessories: none;  expression: unbothered;  strength: none;  weakness: none;,221263d0-8775-49f8-bbf8-4b08b49e1482,ba3f9ef7dc88187133983aba1d9414180ca7e4e9121dc8d9d7700d711d433108
,145,akinyim-the-clown,akinyim the clown,"The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.",Female,hair: burgundy dreadlocks;  eyes: none;  teeth: none;  clothing: kente blouse with asymmetric neckline;  accessories: none;  expression: off-standish;  strength: none;  weakness: none;,c1070dce-48a1-4ae8-b9a4-d070859a8377,eae73d715a817e08142b45be948837037bde4cdba2a61b6d155533948c6bc4fe
,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair: brown; eyes:none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none;,c22489fe-574b-47f3-9667-c9c798b2d4df,41ec2d4c7c04706c22eaa03d1a1ecfb5f3c9297e0181e2b5a72e70084766030c
,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair: burgundy fila cap;  eyes: none;  teeth: none;  clothing: black and kente patterned agbada;  accessories: none;  expression: sleepy;  strength: none;  weakness:none;,1a91e778-d214-476b-a667-94e9ecb8b5ce,b7af228473faf6d55e85db472eb80c4e8b4b16cf2d278f7db30c0971b893a3e4
,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair: face; cap: turned to the side;  eyes: none;  teeth: none;  clothing: yellow and blue ankara;  accessories: none;  expression: warm;  strength: none;  weakness: none;,8177cf38-8284-4eb4-b19c-04473bcb3b5e,371da238deb9218825746e86f7b92713104a0bbc7ca3a21f6e7b470a7f36d8c6
,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair: blue cap;  eyes: none;  teeth: none;  clothing: green top with blue overalls;  accessories: none;  expression: fear;  strength: none; weakness: none;,0554bf35-f588-4009-aafc-ef875b878c29,c5b2224ec38c5f92cb962136eb6619ee5e2ea23c13b1fb340cc0720966919a42
,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair: brown;  eyes: none;  teeth: none;  clothing: brown shirt with dog pattern;  accessories: none;  expression: smirking   strength: none;  weakness: none;,33ba8e73-7949-4bc7-ba27-37ee1d573946,860b32f21836d840f19f83ff3891ba205ae328c0f7cd9c22c14664a15296a51c
,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair: teal cap with black and white stripes;  eyes: none;  teeth: none;  clothing: purple shirt with yellow accent;  accessories: none;  expression: euphoric;  strength: none;  weakness: none;,1fb33783-4898-48cf-8a73-f81afc71e1a8,e39f147ca9ee35634bca1d6311f6df7b1525a9f1689b5d409cfce4ad86c49a88
,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair: black and red hat;  eyes: none;  teeth: none;  clothing: monostrap black ankara with yellow and red patterns;  accessories: none; expression: playful;  strength: none;  weakness: none;,7ba909bd-19a1-454d-a86c-a45e85cb94a6,e3e2f579e48abebd17daf7a8a9a6c40b67b9020228f1f75021442815f2956755
,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair: black and yellow cap;  eyes: none;  teeth: none;  clothing: maroon agbada with yellow accents;  accessories: none;  expression: clueless;  strength: none;  weakness: none;,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,aa6671d720fe4a47ccfff9dacc4f91adff4faaccb211d9c3d3a506aa353d873c
,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair: red cap;  eyes: none;  teeth: none;  clothing: plain and patterned ankara shirt;  accessories: none;  expression: anxious;  strength: none; weakness: none;,36cd959f-d280-41f6-af76-765715c72527,a15344f02a6e87de824394a58e2276b9af8a5e7529d574ed5d0da3093104f947
,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is know for creating magical art pieces that can spark a smile.,Male,hair: black and yellow fila cap;  eyes: none;  teeth: none;  clothing: yelow kente shirt;  accessories: none;  expression: cheerful;  strength: none;  weakness: none;,9d262f55-73d7-4b95-9a82-42356dbb085c,18c7ad862db9420c2478a6f8d5705d48f5c217abbe206cd822d2148b7179ee9a
,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair: brown;  eyes: none;  teeth: none;  clothing: black and kente agbada; accessories: none;  expression: high; strength: none;  weakness: none;,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,e7d97051dce08b456dd8a47bf9d00a6eaacee970c5cdb821a8835830bbc86bfa
,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair: burgundy cap;  eyes: none;  teeth: none;  clothing: black and kente agbada;  accessories: none;  expression: none;  strength: none;  weakness: none;,88106b92-da30-46ad-a3cc-d528683b9e33,2af6651fe0c0abcc098aa9d2c700590aa2e4d6ef092ad9138ca0df6544dc52a7
,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair: orange and cream cap;  eyes: none;  teeth: none;  clothing: orange and blue denim;  accessories: none;  expression: unbothered;  strength: none;  weakness: none;,66a09968-cb92-4378-a588-49947f68c537,82e55b829f40ee005ba8f6695e8bdb8dca9130d391549d9c65af2456684815bc
,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair: blue cap; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none;,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,c6fff3cc946c31af64b2b6214b1277e2fbdb18b291020c2dfce50acd665b4552
,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair: red hair; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none;,b07676a6-c611-410d-8426-46c9c525189a,7898acdb3c3c40cf828b7ca5e5b3bddfdac3112fba7cb7c6d38093a678639fb0
TEAM HEADLIGHT,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men;,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,eb354512d7c6f893837201bda5603cf4eaf775e2e9ce5e2ccca07afacba5c039
,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair: purple shuku; eyes: none; teeth: none; clothing: adire top; expression: neutral; accessories: eye glasses; strength: caring; weakness: snake,ac721b71-cbc5-425c-851f-ee826973f0b9,38ad2d67c36571fb4afc74d78f571d7ec7978e815534ae9d574daae749d0006c
